strain,sex,id,bw,center_time,center_dist,periphery_time,periphery_dist,periphery_dist_pct,activity,lean,rear,jump,defec,groom_freq,groom_dur,groom_bout,task_time_d1,task_time_d2,task_time_d3,task_time_d4,task_time_d5,num_arms_d1,num_arms_d2,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_adj_d3,num_arms_adj_d4,num_arms_adj_d5,num_arms_adj_d3_d5,errors_d1,errors_d2,errors_d3,errors_d4,errors_d5,errors_d3_d5,visit_time_d3,visit_time_d4,visit_time_d5,visit_time_d3_d5,latency_d1,latency_d2,attack_d1,attack_d2,attack_combine,brain_wt,brain_wt_pct,hippocampus_L,hippocampus_R,iipmf_L,iipmf_R,iipmf_pct_L,iipmf_pct_R,iipmf_pct_mean,hilus_L,hilus_R,hilus_pct_L,hilus_pct_R,hilus_pct_mean,supra_L,supra_R,supra_pct_L,supra_pct_R,supra_pct_mean,pyr_L,pyr_R,pyr_pct_L,pyr_pct_R,pyr_pct_mean,oriens_L,oriens_R,oriens_pct_L,oriens_pct_R,oriens_pct_mean,rad_L,rad_R,rad_pct_L,rad_pct_R,rad_pct_mean,lacun_L,lacun_R,lacun_pct_L,lacun_pct_R,lacun_pct_mean
BXD100,f,4083,23.20,31,2026,69,3154,60.89,5180,35,24,0,10,8,192,24,652,1010,451,357,134,4,6,7,6,6,1.700,0.7000,0.7000,1.033,5,8,6,4,3,13,32.21,29.75,12.18,24.72,,,,,,0.4400,1.897,1785271.6,1409571.4,48836,33608,2.735,2.384,2.560,129314,115688.6,7.243,8.207,7.725,176836.2,131474.8,9.905,9.327,9.616,296377.6,192959.4,16.60,13.69,15.15,639974.6,517630.6,35.85,36.72,36.29,443027,376121.8,24.82,26.68,25.75,99742.2,75696.2,5.587,5.370,5.479
BXD100,f,4293,21.40,17,2008,83,4591,69.57,6599,71,60,0,5,5,77.52,15.50,535,395,295,89,272,6,6,5,6,6,-0.3000,0.7000,0.7000,0.3667,8,14,9,2,15,26,17.35,8.900,11.83,12.69,,,,,,0.4100,1.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD100,f,4294,22.70,21,2493,79,3985,61.52,6478,81,67,10,5,7,115.1,16.45,662,266,173,142,153,5,5,7,5,7,1.700,-0.3000,1.700,1.033,12,7,1,5,8,14,19.22,10.92,9.562,13.24,,,,,,0.4000,1.762,1415724.6,1359930.2,35070.4,35631.2,2.477,2.620,2.549,96031.2,101160.8,6.783,7.439,7.111,147876.2,144426.4,10.45,10.62,10.53,237436,206986.6,16.77,15.22,16.00,456718.4,445306,32.26,32.74,32.50,385224,383529.4,27.21,28.20,27.71,92438.8,78521,6.529,5.774,6.152
BXD100,m,1604,27.50,33,2439,67,3683,60.16,6122,67,49,0,10,8,93.04,11.63,921,700,248,261,104,4,5,8,6,6,2.700,0.7000,0.7000,1.367,16,9,0,4,2,6,31,21.75,10.40,21.05,600,600,0,0,0,0.4100,1.491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD100,m,1605,28.50,35,3689,65,3486,48.59,7175,78,111,1,6,16,76.72,4.795,216,217,141,169,109,4,7,6,6,6,0.7000,0.7000,0.7000,0.7000,5,6,10,5,5,20,7.833,13,8.385,9.739,259,246,1,1,1,0.4300,1.509,1405810.8,1452144.2,35466.4,35516.4,2.523,2.446,2.484,122272.4,118742.2,8.698,8.177,8.437,142708.8,151591.2,10.15,10.44,10.30,208541,203783.8,14.83,14.03,14.43,446294.8,471604.2,31.75,32.48,32.11,395517,414356.4,28.13,28.53,28.33,90476.8,92066.4,6.436,6.340,6.388
BXD100,m,2118,31.10,49,5673,51,3959,41.10,9632,78,114,0,4,10,48.64,4.864,603,304,325,206,269,5,5,6,7,6,0.7000,1.700,0.7000,1.033,14,7,7,7,6,20,21.67,13.73,19.21,18.20,443,481,1,1,1,0.4300,1.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD100,m,2119,28.70,31,3214,69,4326,57.37,7540,60,31,0,5,5,62.80,12.56,626,268,134,170,227,7,5,7,7,6,1.700,1.700,0.7000,1.367,23,4,1,4,4,9,14.89,14.17,18.92,15.99,600,358,0,1,1,0.4400,1.533,1357857.6,1596723.2,30253,33312.8,2.228,2.086,2.157,78945.2,117396.6,5.814,7.352,6.583,126835.2,149770.8,9.341,9.380,9.360,226907.4,220360.4,16.71,13.80,15.26,521331.8,574073.4,38.39,35.95,37.17,339644.8,442429.2,25.01,27.71,26.36,64193.2,92692.8,4.728,5.805,5.266
BXD100,m,3509,29.50,20,2598,80,4617,63.99,7215,57,104,0,10,8,100.2,12.53,481,388,230,156,130,5,6,6,7,6,0.7000,1.700,0.7000,1.033,13,11,8,1,2,11,14.38,17.33,13,14.90,313,481,1,1,1,0.4300,1.458,1800917.2,1746288.4,43065.8,41580.6,2.391,2.381,2.386,136254.6,141873.8,7.566,8.124,7.845,182296,184160.6,10.12,10.55,10.33,296005,276971.8,16.44,15.86,16.15,614039.4,597784,34.10,34.23,34.16,457585.2,443032.6,25.41,25.37,25.39,114737,102465.6,6.371,5.868,6.119
BXD100,m,3510,29,25,2990,75,3533,54.16,6523,78,31,0,7,6,72.48,12.08,859,388,228,212,143,5,6,7,7,6,1.700,1.700,0.7000,1.367,32,15,4,3,6,13,19,19.27,10.21,16.16,138,128,1,1,1,0.4200,1.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD100,m,3889,29,46,3900,54,3004,43.51,6904,56,68,0,9,4,40.88,10.22,298,334,402,137,119,4,6,7,6,6,1.700,0.7000,0.7000,1.033,11,12,13,4,3,20,19.14,11.42,10.82,13.79,217,112,1,1,1,0.4300,1.483,1385499,1323379.8,26244,28712.2,1.894,2.170,2.032,82533.6,91430.6,5.957,6.909,6.433,127134.2,128690.4,9.176,9.724,9.450,214720,203473,15.50,15.38,15.44,497406.8,443050.6,35.90,33.48,34.69,379271.8,364852.4,27.37,27.57,27.47,84432.6,91882.8,6.094,6.943,6.519
BXD100,m,3890,24.80,26,3027,74,3624,54.49,6651,53,30,0,10,8,140.1,17.51,776,468,209,249,214,5,4,7,5,5,1.700,-0.3000,-0.3000,0.3667,11,7,2,3,7,12,20.90,22.64,14.27,19.27,343,41,1,1,1,0.4100,1.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD100,m,4506,26.60,32,3695,68,3187,46.31,6882,39,32,0,3,6,66,11,562,356,264,235,114,6,5,4,6,6,-1.300,0.7000,0.7000,0.03333,9,6,6,2,2,10,18.86,23.50,11.40,17.92,600,600,0,0,0,0.3800,1.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD100,m,4507,28,23,2439,77,3243,57.07,5682,41,43,0,5,6,167.2,27.87,732,809,152,294,77,5,6,7,8,7,1.700,2.700,1.700,2.033,10,4,1,0,1,2,16.89,36.75,8.556,20.73,600,600,0,0,0,0.3900,1.393,1492991.4,1322546.6,45502.8,42879,3.048,3.242,3.145,131109.2,135350,8.782,10.23,9.508,178167,158224.4,11.93,11.96,11.95,259457,227972,17.38,17.24,17.31,455650.6,357647.4,30.52,27.04,28.78,384813.4,359586.2,25.77,27.19,26.48,83794.2,83766.6,5.613,6.334,5.973
BXD101,f,1517,20.30,21,2662,79,6595,71.24,9257,125,54,26,6,4,139.6,34.90,230,229,382,99,91,6,7,7,7,7,1.700,1.700,1.700,1.700,8,12,25,2,2,29,11.58,9.900,9.100,10.19,,,,,,0.3500,1.724,1639255.2,1645725.2,24539.2,24242.8,1.497,1.473,1.485,130457.8,154888.6,7.958,9.412,8.685,156651.4,152266.4,9.556,9.252,9.404,270983.6,270189,16.53,16.42,16.47,567280.6,526253.8,34.61,31.98,33.29,424599,435473.4,25.90,26.46,26.18,89282.8,106654,5.447,6.481,5.964
BXD101,f,1518,20.80,19,2280,81,6686,74.57,8966,141,29,3,2,10,151.1,15.11,387,307,432,140,641,6,7,5,6,6,-0.3000,0.7000,0.7000,0.3667,5,4,17,6,8,31,17.28,10,40.06,22.45,,,,,,0.3600,1.731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
