strain,sex,id,bw,center_time,center_dist,periphery_time,periphery_dist,periphery_dist_pct,activity,lean,rear,jump,defec,groom_freq,groom_dur,groom_bout,task_time_d1,task_time_d2,task_time_d3,task_time_d4,task_time_d5,num_arms_d1,num_arms_d2,num_arms_d3,num_arms_d4,num_arms_d5,num_arms_adj_d3,num_arms_adj_d4,num_arms_adj_d5,num_arms_adj_d3_d5,errors_d1,errors_d2,errors_d3,errors_d4,errors_d5,errors_d3_d5,visit_time_d3,visit_time_d4,visit_time_d5,visit_time_d3_d5,latency_d1,latency_d2,attack_d1,attack_d2,attack_combine,brain_wt,brain_wt_pct,hippocampus_L,hippocampus_R,iipmf_L,iipmf_R,iipmf_pct_L,iipmf_pct_R,iipmf_pct_mean,hilus_L,hilus_R,hilus_pct_L,hilus_pct_R,hilus_pct_mean,supra_L,supra_R,supra_pct_L,supra_pct_R,supra_pct_mean,pyr_L,pyr_R,pyr_pct_L,pyr_pct_R,pyr_pct_mean,oriens_L,oriens_R,oriens_pct_L,oriens_pct_R,oriens_pct_mean,rad_L,rad_R,rad_pct_L,rad_pct_R,rad_pct_mean,lacun_L,lacun_R,lacun_pct_L,lacun_pct_R,lacun_pct_mean
BXD27,f,2536,26.70,26,1293,74,3420,72.57,4713,24,1,0,6,6,113.3,18.88,1118,1800,1170,1319,369,5,6,7,5,6,1.700,-0.3000,0.7000,0.7000,7,21,6,4,5,15,83.57,109.9,28.38,73.96,,,,,,0.3700,1.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD27,f,3635,21.70,10,1008,90,6302,86.21,7310,144,61,9,16,0,0,0,752,622,131,142,196,6,6,5,5,7,-0.3000,-0.3000,1.700,0.3667,1,4,4,7,5,16,10.92,9.467,15.08,11.82,,,,,,,,1431070,1249246,28616.4,25617,2.000,2.051,2.025,101556.8,102870,7.097,8.235,7.666,150656.8,125831.8,10.53,10.07,10.30,265605.4,233209.6,18.56,18.67,18.61,453610.4,368554.4,31.70,29.50,30.60,382163.8,343029.6,26.70,27.46,27.08,77476.8,75750.6,5.414,6.064,5.739
BXD27,f,3636,24.20,21,2276,79,6922,75.26,9198,104,50,5,4,0,0,0,1057,440,406,354,586,7,6,6,7,5,0.7000,1.700,-0.3000,0.7000,1,2,2,3,7,12,40.60,32.18,39.07,37.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD27,f,4646,23.80,32,2767,68,4867,63.75,7634,38,11,0,12,2,150.4,75.20,506,267,321,382,296,5,7,3,5,5,-2.300,-0.3000,-0.3000,-0.9667,10,8,10,10,9,29,17.83,21.22,17.41,18.82,,,,,,0.3800,1.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD27,f,4647,21.90,25,2430,75,4988,67.24,7418,31,3,0,8,2,23.92,11.96,723,1519,717,408,423,5,6,7,7,5,1.700,1.700,-0.3000,1.033,16,32,10,4,6,20,39.83,34,30.21,34.68,,,,,,0.3600,1.644,1584736.2,1284657.8,27325.8,23806.2,1.724,1.853,1.789,133777.8,126665.4,8.442,9.860,9.151,133590.6,118510.8,8.430,9.225,8.827,258472,226909,16.31,17.66,16.99,439427.8,372959.6,27.73,29.03,28.38,415318.2,368176.2,26.21,28.66,27.43,204149.8,71436.8,12.88,5.561,9.222
BXD27,m,218,23.60,0,31,100,4016,99.23,4047,36,1,0,5,10,226,22.60,1275,1222,668,384,159,5,6,6,5,7,0.7000,-0.3000,1.700,0.7000,3,5,3,33,6,42,60.73,9.366,11.36,27.15,600,,0,,,0.4000,1.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD27,m,219,23.30,57,6243,44,3374,35.08,9617,39,178,3,3,2,34,17,425,407,445,153,96,5,5,6,5,5,0.7000,-0.3000,-0.3000,0.03333,15,11,20,10,5,35,15.89,8.500,7.385,10.59,302,,1,,1,0.3600,1.545,1716001.2,1241612,43749.2,22980.8,2.549,1.851,2.200,171893.8,121859.8,10.02,9.815,9.916,187438.6,115891.6,10.92,9.334,10.13,309976,201189.2,18.06,16.20,17.13,504538,385153.2,29.40,31.02,30.21,440164.4,347476.4,25.65,27.99,26.82,101990.4,70041.8,5.943,5.641,5.792
BXD27,m,1911,27,28,2320,72,6271,72.99,8591,83,35,0,4,2,65.92,32.96,381,492,282,259,255,4,5,4,5,5,-1.300,-0.3000,-0.3000,-0.6333,12,10,6,7,4,17,20.14,17.27,21.25,19.55,600,600,0,0,0,0.4100,1.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD27,m,1912,23.30,37,3852,63,5615,59.31,9467,65,27,0,5,4,30.80,7.700,710,160,175,152,130,5,7,5,5,5,-0.3000,-0.3000,-0.3000,-0.3000,7,5,8,11,8,27,10.94,8,8.125,9.021,229,174,1,1,1,0.3900,1.674,1331381.2,1278424,33139,22714.2,2.489,1.777,2.133,123430.6,119869.4,9.271,9.376,9.324,158574.8,137097,11.91,10.72,11.32,193996,173465,14.57,13.57,14.07,397634.4,387186.8,29.87,30.29,30.08,382566.4,378808.8,28.73,29.63,29.18,75179,81997,5.647,6.414,6.030
BXD27,m,2631,25.60,6,691,94,5920,89.55,6611,86,12,0,17,3,27.28,9.093,1097,530,386,126,121,4,4,5,6,6,-0.3000,0.7000,0.7000,0.3667,14,19,2,3,4,9,38.60,11.45,10.08,20.05,600,279,0,1,1,0.3700,1.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD27,m,2632,25.70,39,2593,61,5194,66.70,7787,66,24,0,5,2,17.12,8.560,339,188,116,114,200,4,6,6,6,6,0.7000,0.7000,0.7000,0.7000,12,6,3,4,12,19,10.55,9.500,10,10.02,581,600,1,0,1,0.3300,1.284,1165936,1210975.2,34372,28495.8,2.948,2.353,2.651,158487,136382.2,13.59,11.26,12.43,144133,127827,12.36,10.56,11.46,206320.4,198100.6,17.70,16.36,17.03,267128.2,316787.4,22.91,26.16,24.54,316583.2,350524,27.15,28.95,28.05,73284.2,81354,6.285,6.718,6.502
BXD27,m,3639,25.60,19,2705,81,6092,69.25,8797,123,80,3,9,0,0,0,491,163,391,116,97,4,4,6,6,7,0.7000,0.7000,1.700,1.033,14,8,3,8,1,12,35.55,7.250,10.78,17.86,600,458,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD27,m,4169,30.80,10,1337,90,6041,81.88,7378,50,20,0,7,4,51.12,12.78,661,218,243,441,392,5,5,6,7,7,0.7000,1.700,1.700,1.367,15,4,6,7,2,15,17.36,29.40,39.20,28.65,600,600,0,0,0,0.3800,1.234,1799026.2,1343114,40284,34838.6,2.239,2.594,2.417,154560.6,133822.6,8.591,9.964,9.277,185884.6,140287.8,10.33,10.44,10.39,278489.6,227430.4,15.48,16.93,16.21,609497.2,416008.6,33.88,30.97,32.43,476579.4,363374.4,26.49,27.05,26.77,94014.8,62190.2,5.226,4.630,4.928
BXD27,m,4170,23.20,28,2864,72,6490,69.38,9354,119,56,0,8,3,36.16,12.05,271,201,184,375,254,7,4,6,6,5,0.7000,0.7000,-0.3000,0.3667,5,5,5,12,8,25,14.15,18.75,15.88,16.26,600,204,0,1,1,0.3700,1.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD27,m,4648,24.50,21,2397,79,5795,70.74,8192,59,41,0,2,6,94.56,15.76,623,177,170,226,209,5,6,7,7,4,1.700,1.700,-1.300,0.7000,27,12,7,1,15,23,11.33,25.11,9.087,15.18,36,600,1,0,1,0.3600,1.469,1447908.2,1324266.2,43482.4,41884,3.003,3.163,3.083,153105,128586.8,10.57,9.710,10.14,160011,141988.2,11.05,10.72,10.89,231314.4,218707.4,15.98,16.52,16.25,410986.8,399958.4,28.38,30.20,29.29,402932.4,361826.2,27.83,27.32,27.58,89558.6,73199.2,6.185,5.528,5.856
BXD28,f,371,20,49,4882,51,3497,41.74,8379,34,41,0,8,17,79,4.647,340,131,136,142,160,4,6,5,6,5,-0.3000,0.7000,-0.3000,0.03333,16,5,8,6,9,23,8.500,10.14,9.412,9.352,,,,,,0.3800,1.900,1554341.4,1526639.4,33533,21481.2,2.157,1.407,1.782,135758.6,100810.6,8.734,6.603,7.669,152837,125531.4,9.833,8.223,9.028,272747,235471.2,17.55,15.42,16.49,466621,510347.2,30.02,33.43,31.72,433549.8,461701.4,27.89,30.24,29.07,92828,92777.6,5.972,6.077,6.025
BXD28,f,372,21.40,25,2994,75,4803,61.60,7797,45,46,0,6,12,79,6.583,205,177,345,209,134,3,5,5,6,6,-0.3000,0.7000,0.7000,0.3667,4,7,20,13,7,40,12.32,9.952,8.933,10.40,,,,,,0.3500,1.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD28,f,4430,19.40,29,3100,71,4485,59.13,7585,49,42,0,3,4,26.96,6.740,455,333,354,323,227,5,4,5,4,4,-0.3000,-1.300,-1.300,-0.9667,12,11,18,14,9,41,13.62,14.68,13.35,13.88,,,,,,0.3900,2.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD28,f,4431,20.40,35,3725,65,4787,56.24,8512,58,56,0,7,6,68.16,11.36,678,446,189,346,131,6,5,5,6,6,-0.3000,0.7000,0.7000,0.3667,21,21,6,17,3,26,13.50,13.84,11.91,13.08,,,,,,0.3900,1.912,1365632.4,1280086.6,46502.4,40728.8,3.405,3.182,3.293,141404.2,133067.6,10.35,10.40,10.37,154819.8,134738,11.34,10.53,10.93,234093.4,202488.4,17.14,15.82,16.48,444684,386688,32.56,30.21,31.39,333789.4,354524.6,24.44,27.70,26.07,56841.6,68580,4.162,5.357,4.760
BXD28,f,4703,20,35,3648,65,4215,53.61,7863,34,89,0,5,5,34.40,6.880,1156,771,345,408,506,4,6,7,5,6,1.700,-0.3000,0.7000,0.7000,16,11,7,7,7,21,23,27.20,33.73,27.98,,,,,,0.3400,1.700,1181709.4,1186996.6,30185.4,30785,2.554,2.594,2.574,119983.6,117311.4,10.15,9.883,10.02,132490,131517.8,11.21,11.08,11.15,187378.2,169276.8,15.86,14.26,15.06,359327.2,391837,30.41,33.01,31.71,329309.4,319573.4,27.87,26.92,27.40,53221,57480.2,4.504,4.842,4.673
BXD28,f,4704,19.30,17,1914,83,4683,70.99,6597,44,33,0,3,9,135.2,15.02,1445,702,607,331,644,7,6,7,6,6,1.700,0.7000,0.7000,1.033,20,9,5,2,6,13,46.69,33.10,46,41.93,,,,,,0.3700,1.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD28,f,4705,20.60,28,2570,72,5010,66.09,7580,63,45,2,8,10,63.76,6.376,283,188,177,213,165,6,7,7,6,6,1.700,0.7000,0.7000,1.033,9,5,5,6,3,14,13.62,15.21,15,14.61,,,,,,0.3800,1.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD28,f,4706,21.90,23,2478,77,5131,67.43,7609,62,35,2,3,4,25.52,6.380,395,269,268,149,108,5,5,6,7,7,0.7000,1.700,1.700,1.367,2,9,2,2,2,6,26.80,14.90,10.80,17.50,,,,,,0.3800,1.735,1216731.6,1316241.2,35908,35492,2.951,2.696,2.824,126950.4,125748,10.43,9.554,9.994,147919.4,149549.2,12.16,11.36,11.76,184601.2,199751,15.17,15.18,15.17,372884.2,406704.2,30.65,30.90,30.77,324204.6,363024.4,26.65,27.58,27.11,60171.8,71464.4,4.945,5.429,5.187
BXD28,f,4707,21.90,29,1769,71,4348,71.08,6117,61,27,0,6,6,40.80,6.800,547,308,535,243,258,5,7,6,6,7,0.7000,0.7000,1.700,1.033,3,3,6,3,12,21,38.21,22.09,12.90,24.40,,,,,,0.3500,1.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD28,f,4708,21.10,18,2256,82,5408,70.56,7664,62,28,0,1,7,51.76,7.394,602,586,596,403,208,3,5,7,5,6,1.700,-0.3000,0.7000,0.7000,11,9,8,0,2,10,37.25,50.38,20.80,36.14,,,,,,0.3600,1.706,1609566,1420482,70123.8,58527.8,4.357,4.120,4.238,188743,164628.2,11.73,11.59,11.66,194090.8,176909,12.06,12.45,12.26,299488.6,234326.2,18.61,16.50,17.55,417763.2,395689,25.96,27.86,26.91,435789.8,380099.2,27.07,26.76,26.92,73690.6,68830.4,4.578,4.846,4.712
BXD28,m,374,23.50,26,2508,74,3289,56.74,5797,21,39,0,0,14,268,19.14,838,333,202,262,163,3,4,5,5,4,-0.3000,-0.3000,-1.300,-0.6333,44,15,10,16,10,36,11.22,10.92,9.056,10.40,172,296,1,1,1,0.3200,1.362,1641649.4,1358203.6,39670.4,43696.2,2.416,3.217,2.817,128527.2,133361,7.829,9.819,8.824,157544.8,120452,9.597,8.868,9.233,262570.4,221689.6,15.99,16.32,16.16,499026.6,419692,30.40,30.90,30.65,489264.4,393101.2,29.80,28.94,29.37,104716,69907.8,6.379,5.147,5.763
BXD28,m,375,27.50,46,3027,54,2592,46.13,5619,25,18,0,0,9,223,24.78,480,1089,598,129,144,6,5,5,6,5,-0.3000,0.7000,-0.3000,0.03333,14,27,22,3,3,28,19.93,11.73,13.09,14.92,456,600,1,0,1,0.3900,1.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD28,m,4038,25.70,33,1898,67,3783,66.59,5681,54,46,0,3,6,68.64,11.44,871,768,535,384,253,4,5,7,5,6,1.700,-0.3000,0.7000,0.7000,14,19,5,6,3,14,41.15,27.43,23,30.53,600,430,0,1,1,0.3800,1.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD28,m,4039,25.90,47,3256,53,3104,48.81,6360,46,36,0,0,7,105.0,15.01,593,329,394,260,211,4,6,5,7,4,-0.3000,1.700,-1.300,0.03333,19,9,7,3,7,17,26.27,23.64,14.07,21.32,600,244,0,1,1,0.3800,1.467,1692159.2,1729412.8,49500.4,42833.2,2.925,2.477,2.701,166960.6,157754.2,9.867,9.122,9.494,175052.8,179562.2,10.34,10.38,10.36,294625.2,255488.6,17.41,14.77,16.09,489479.4,558640.6,28.93,32.30,30.61,467199.2,490435,27.61,28.36,27.98,98842,87532.2,5.841,5.061,5.451
BXD28,m,4280,29.30,24,2289,76,5078,68.93,7367,45,43,0,7,9,75.28,8.364,775,221,139,104,101,4,6,5,6,7,-0.3000,0.7000,1.700,0.7000,20,6,3,3,2,8,12.64,9.455,10.10,10.73,600,600,0,0,0,0.3700,1.263,1250816,1311690,34910,37769.8,2.791,2.879,2.835,134829.6,128973.8,10.78,9.833,10.31,129849.6,137152.4,10.38,10.46,10.42,205480.6,195128.4,16.43,14.88,15.65,375434.6,434673.8,30.02,33.14,31.58,343850.2,357690.6,27.49,27.27,27.38,61371.4,58071,4.907,4.427,4.667
BXD28,m,4281,27.20,9,927,91,6895,88.15,7822,64,44,0,0,7,59.28,8.469,643,285,214,212,136,3,5,3,5,6,-2.300,-0.3000,0.7000,-0.6333,15,16,5,11,6,22,16.46,11.16,9.714,12.44,600,600,0,0,0,0.4000,1.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD28,m,4587,28.40,29,2037,71,3943,65.94,5980,61,23,0,7,8,107.3,13.41,467,231,259,193,126,5,6,6,7,6,0.7000,1.700,0.7000,1.033,19,7,10,7,4,21,14.39,12.87,10.50,12.59,600,600,0,0,0,0.4100,1.444,1400596.8,1438939.8,38591.8,44366,2.755,3.083,2.919,150848,148383.6,10.77,10.31,10.54,144919.4,149223.6,10.35,10.37,10.36,234982.8,254132.4,16.78,17.66,17.22,409883,423263.6,29.26,29.41,29.34,380952,380474.2,27.20,26.44,26.82,79011.6,83462.4,5.641,5.800,5.721
BXD28,m,4588,29.50,11,1031,89,4635,81.80,5666,49,13,0,3,6,213.0,35.51,459,258,393,206,201,3,5,5,6,6,-0.3000,0.7000,0.7000,0.3667,12,6,11,3,9,23,20.68,18.73,11.82,17.08,600,600,0,0,0,0.3600,1.220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD28,m,4709,26.60,43,2935,57,2707,47.98,5642,36,65,1,0,6,109.4,18.24,560,168,463,417,259,3,7,6,7,6,0.7000,1.700,0.7000,1.033,11,3,3,3,2,8,42.09,37.91,25.90,35.30,600,600,0,0,0,0.3800,1.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD28,m,4710,26,38,1715,62,4066,70.33,5781,41,19,0,3,7,89.36,12.77,670,194,165,106,121,4,5,7,7,6,1.700,1.700,0.7000,1.367,4,8,2,1,4,7,16.50,11.78,10.08,12.79,268,185,1,1,1,0.3900,1.500,1313670.8,1362604.4,42268.6,41350.2,3.218,3.035,3.126,125404,142302.2,9.546,10.44,9.995,146583.2,144528.4,11.16,10.61,10.88,205510,213831.6,15.64,15.69,15.67,415433,411132.8,31.62,30.17,30.90,357708.4,386356,27.23,28.35,27.79,63032.2,64453.4,4.798,4.730,4.764
BXD31,f,169,21.80,15,1345,85,5974,81.62,7319,75,31,0,10,19,109,5.737,589,325,215,241,230,5,5,7,5,5,1.700,-0.3000,-0.3000,0.3667,11,13,8,9,9,26,13.44,14.18,13.53,13.71,,,,,,0.4200,1.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD31,f,295,22.60,18,1819,82,5540,75.28,7359,97,50,0,0,18,149.3,8.293,359,306,367,231,159,4,5,5,6,7,-0.3000,0.7000,1.700,0.7000,2,6,7,6,3,16,24.47,16.50,14.45,18.47,,,,,,0.4300,1.903,1630627.2,1607855.8,28025,27413.2,1.719,1.705,1.712,149679.2,146034.2,9.179,9.083,9.131,186560.6,170560.8,11.44,10.61,11.02,275852.6,273893.4,16.92,17.03,16.98,452266.6,470463.8,27.74,29.26,28.50,445524.4,429740.8,27.32,26.73,27.02,120743.8,117162.8,7.405,7.287,7.346
BXD31,f,2247,22.80,27,2873,73,5511,65.73,8384,85,45,0,7,11,65.68,5.971,438,571,218,203,215,5,5,6,6,6,0.7000,0.7000,0.7000,0.7000,4,23,2,4,2,8,21.80,16.92,21.50,20.07,,,,,,0.4100,1.798,1443198.2,1414376.8,45825.2,30078.4,3.175,2.127,2.651,177341,150130.4,12.29,10.61,11.45,190462.8,180188.6,13.20,12.74,12.97,243102,227132.8,16.84,16.06,16.45,384713.2,367740,26.66,26.00,26.33,346444.2,382780.4,24.01,27.06,25.53,101135,106404.6,7.008,7.523,7.265
BXD31,f,2248,22.20,38,3113,62,4341,58.24,7454,57,35,0,0,8,113.0,14.12,606,259,135,242,195,5,5,7,6,6,1.700,0.7000,0.7000,1.033,17,3,1,6,4,11,15,17.29,16.25,16.18,,,,,,0.4100,1.847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD31,f,5202,17.10,21,1456,79,5415,78.81,6871,100,36,0,3,13,181.0,13.93,345,232,333,131,206,5,6,5,6,6,-0.3000,0.7000,0.7000,0.3667,10,11,14,2,10,26,15.14,13.10,11.44,13.23,,,,,,0.3700,2.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD31,f,5203,17.20,10,909,90,6145,87.11,7054,97,39,0,5,6,64.08,10.68,309,210,183,367,192,5,6,6,5,5,0.7000,-0.3000,-0.3000,0.03333,14,8,7,24,12,43,12.20,11.47,9.600,11.09,,,,,,0.3400,1.977,1310735.6,1381743.6,28340.2,34533.6,2.162,2.499,2.331,118187,128818,9.017,9.323,9.170,159035.4,169559.2,12.13,12.27,12.20,206923,217891.4,15.79,15.77,15.78,397473.2,427926.6,30.32,30.97,30.65,339977.8,344394.8,25.94,24.92,25.43,89139.2,93153.6,6.801,6.742,6.771
BXD31,f,5224,19.50,44,5024,56,4165,45.33,9189,31,34,0,1,6,69.20,11.53,339,340,156,103,265,4,5,6,7,5,0.7000,1.700,-0.3000,0.7000,15,24,7,2,24,33,10.40,10.30,8.281,9.660,,,,,,0.3700,1.897,1418734.2,1369284.2,16298.8,17158.8,1.149,1.253,1.201,116858.4,116678.4,8.237,8.521,8.379,120572.2,151849.4,8.499,11.09,9.794,223526.4,190801.8,15.76,13.93,14.84,472543,453439.2,33.31,33.12,33.21,393717.4,382092,27.75,27.90,27.83,91516.8,74423.4,6.451,5.435,5.943
BXD31,f,5225,11.40,35,2907,65,3809,56.72,6716,77,30,0,4,7,194.9,27.84,761,661,481,288,270,6,6,6,7,6,0.7000,1.700,0.7000,1.033,13,17,8,4,6,18,30.06,24,19.29,24.45,,,,,,0.3200,2.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD31,f,7322,18.70,18,1896,82,6693,77.93,8589,60,36,0,3,7,60.80,8.686,530,332,516,636,403,6,7,7,7,6,1.700,1.700,0.7000,1.367,10,2,2,4,4,10,51.60,53,33.58,46.06,,,,,,0.3900,2.086,1207685.8,1145760.6,19399.6,17873,1.606,1.560,1.583,105573.8,115776.4,8.742,10.10,9.423,138564,121865.6,11.47,10.64,11.05,211627.6,214702.8,17.52,18.74,18.13,366303.4,317039.8,30.33,27.67,29.00,317758.2,310595.8,26.31,27.11,26.71,67858.8,65780.2,5.619,5.741,5.680
BXD31,f,7323,18.80,35,3522,65,4872,58.04,8394,65,34,0,0,7,52.16,7.451,354,303,615,343,304,5,7,5,5,7,-0.3000,-0.3000,1.700,0.3667,2,1,10,6,6,22,34.17,24.50,21.71,26.79,,,,,,0.3700,1.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD31,m,174,26.80,68,5051,32,2236,30.68,7287,32,48,0,8,16,402,25.12,753,340,138,149,120,3,4,7,7,8,1.700,1.700,2.700,2.033,22,7,1,3,0,4,15.33,13.55,15,14.63,600,,0,,,0.4100,1.530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD31,m,175,28.90,45,3458,55,4108,54.30,7566,61,30,1,6,9,169,18.78,587,530,311,450,203,6,5,6,6,7,0.7000,0.7000,1.700,1.033,12,11,7,24,1,32,20.73,14.06,22.56,19.12,237,,1,,1,0.4100,1.419,1596227,1309739,36926.6,32053.4,2.313,2.447,2.380,171449.2,163839.2,10.74,12.51,11.63,202995,180769.8,12.72,13.80,13.26,259727,198397,16.27,15.15,15.71,423643,345786,26.54,26.40,26.47,419553,346089.8,26.28,26.42,26.35,118859.8,74857.2,7.446,5.715,6.581
BXD31,m,2639,28.70,46,5001,54,4473,47.21,9474,42,47,0,3,8,72.80,9.100,566,403,228,267,164,4,6,7,6,6,1.700,0.7000,0.7000,1.033,8,7,4,7,5,16,19,17.80,12.62,16.47,600,336,0,1,1,0.4300,1.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD31,m,2640,25,35,4349,65,5289,54.88,9638,80,34,0,8,5,41.92,8.384,556,179,176,179,131,5,7,5,6,6,-0.3000,0.7000,0.7000,0.3667,25,4,6,5,3,14,12.57,13.77,11.91,12.75,192,138,1,1,1,0.3900,1.560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD31,m,4161,24.10,40,5972,60,6420,51.81,12392,82,80,0,4,5,49.52,9.904,466,172,224,191,337,5,6,5,5,5,-0.3000,-0.3000,-0.3000,-0.3000,19,4,8,8,22,38,14,11.94,11.23,12.39,600,600,0,0,0,0.3900,1.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD31,m,4162,24.50,15,1615,85,6135,79.16,7750,97,27,0,7,5,54.16,10.83,493,267,420,271,189,5,6,4,5,6,-1.300,-0.3000,0.7000,-0.3000,15,8,16,10,6,32,17.50,15.06,13.50,15.35,600,600,0,0,0,0.4200,1.714,1305793.8,1269807.8,24706,25004.6,1.892,1.969,1.931,147820.8,142899,11.32,11.25,11.29,155222.2,161079.6,11.89,12.69,12.29,205531.6,183009.2,15.74,14.41,15.08,335934.8,340650.6,25.73,26.83,26.28,350644.4,352438.4,26.85,27.76,27.30,110640,89731,8.473,7.067,7.770
BXD31,m,4574,26.10,33,3974,67,6849,63.28,10823,73,51,0,5,4,32.24,8.060,276,161,297,152,144,6,6,6,6,5,0.7000,0.7000,-0.3000,0.3667,7,2,13,3,6,22,14.14,13.82,10.29,12.75,71,130,1,1,1,0.3700,1.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD31,m,4575,27.90,33,3381,67,5152,60.38,8533,51,47,0,5,4,23.04,5.760,318,281,231,233,236,6,6,6,6,5,0.7000,0.7000,-0.3000,0.3667,16,13,5,16,14,35,17.77,9.708,10.73,12.73,600,600,0,0,0,0.4100,1.470,1410155,1334407.4,17501.2,19301.4,1.241,1.446,1.344,119151.2,117788.2,8.450,8.827,8.638,142948.6,135640,10.14,10.16,10.15,223588.4,223081.6,15.86,16.72,16.29,443172,399155,31.43,29.91,30.67,374821,361473.4,26.58,27.09,26.83,106473.8,97269.2,7.551,7.289,7.420
BXD31,m,5001,25.90,42,3968,58,4837,54.93,8805,49,48,0,5,6,53.68,8.947,453,540,315,233,170,4,6,5,4,5,-0.3000,-1.300,-0.3000,-0.6333,6,9,12,8,6,26,15.75,14.56,12.14,14.15,259,600,1,0,1,0.3700,1.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD31,m,5002,24.30,39,4466,61,5982,57.25,10448,59,63,0,5,2,20.80,10.40,274,253,289,256,176,6,4,7,6,6,1.700,0.7000,0.7000,1.033,8,12,11,6,7,24,15.21,18.29,11.73,15.08,64,446,1,1,1,0.3500,1.440,1196241.2,1280911,46542.8,37749.2,3.891,2.947,3.419,166321.4,158789.2,13.90,12.40,13.15,151816.8,152725.4,12.69,11.92,12.31,190088,198480,15.89,15.50,15.69,303145,360956.6,25.34,28.18,26.76,305719.2,324023,25.56,25.30,25.43,79150.8,85936.8,6.617,6.709,6.663
BXD32,f,156,20.80,23,4084,77,6849,62.65,10933,93,47,0,6,9,39,4.333,436,135,151,145,191,5,7,5,7,4,-0.3000,1.700,-1.300,0.03333,13,4,6,1,5,12,10.79,16.11,14.69,13.86,,,,,,0.4600,2.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BXD32,f,157,22.10,42,7474,58,7361,49.62,14835,88,51,0,9,11,45,4.091,900,191,244,151,329,4,5,6,6,5,0.7000,0.7000,-0.3000,0.3667,20,6,8,4,11,23,15.25,12.58,17.32,15.05,,,,,,0.4400,1.991,1360891,1417457.8,23479.6,17466.8,1.725,1.232,1.479,127143.8,121552.8,9.343,8.575,8.959,167066.4,156582,12.28,11.05,11.66,153633.2,181967.2,11.29,12.84,12.06,514283.2,491178.8,37.79,34.65,36.22,338171.4,391940.8,24.85,27.65,26.25,60593,74236.2,4.452,5.237,4.845
BXD32,f,2037,21.30,30,5567,70,7672,57.95,13239,88,28,0,3,6,58.48,9.747,208,403,117,166,130,6,5,7,5,6,1.700,-0.3000,0.7000,0.7000,3,11,3,6,11,20,10.64,11.86,6.842,9.779,,,,,,0.4300,2.019,1518626,1452763,25397.4,28824.6,1.672,1.984,1.828,123778.6,134309.6,8.151,9.245,8.698,161561.6,170834.6,10.64,11.76,11.20,197415.8,191582,13.00,13.19,13.09,578948.8,496665.2,38.12,34.19,36.16,389628.6,387511.2,25.66,26.67,26.17,67292.6,71860.4,4.431,4.946,4.689
BXD32,f,2038,22.10,54,8565,46,7984,48.24,16549,113,16,14,6,12,73.76,6.147,251,166,208,156,285,6,6,6,5,6,0.7000,-0.3000,0.7000,0.3667,14,6,7,4,7,18,13.87,13,19,15.29,,,,,,0.4100,1.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
